,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
312,Bitung,1.45,125.18,71.6,94,20,1.12,ID,1603314301
313,Ribeira Grande,38.52,-28.7,64.4,55,75,4.7,PT,1603314101
314,San Cristobal,7.77,-72.22,91.4,49,40,12.75,VE,1603314021
315,Fortuna,40.6,-124.16,62.8,67,1,16.11,US,1603314169
316,Rocha,-34.48,-54.33,58.39,69,64,12.06,UY,1603314073
317,Yenagoa,4.92,6.26,76.57,94,4,4.27,NG,1603313805
318,Snezhnogorsk,69.19,33.25,14.0,92,40,2.24,RU,1603314309
319,Half Moon Bay,37.46,-122.43,72.88,77,1,9.17,US,1603314157
320,Sarangani,5.4,125.46,83.37,74,100,7.31,PH,1603314311
321,Luba,3.46,8.55,78.51,82,56,3.74,GQ,1603314137
322,Ambanja,-13.68,48.45,75.88,84,87,0.83,MG,1603314314
323,Bandarbeyla,9.49,50.81,80.11,65,8,1.99,SO,1603314315
324,Camp Verde,34.56,-111.85,84.88,13,91,11.18,US,1603314316
325,Zhoucheng,35.91,116.31,48.94,45,0,3.24,CN,1603314318
326,Ugoofaaru,5.67,73.0,81.79,79,89,12.24,MV,1603314319
327,Santa Catarina de Tepehuanes,25.35,-105.73,78.82,26,8,5.01,MX,1603314320
328,Narsaq,60.92,-46.05,32.0,93,100,2.24,GL,1603314220
329,Henties Bay,-22.12,14.28,61.0,87,91,1.99,NA,1603314152
330,Panabá,21.28,-88.27,83.84,80,61,9.69,MX,1603314324
331,Shimanovsk,52.0,127.7,27.73,94,100,12.73,RU,1603314325
332,Port Augusta,-32.5,137.77,62.73,87,68,8.05,AU,1603314224
333,Norsup,-16.07,167.38,77.0,94,75,9.69,VU,1603314327
334,Tynda,55.17,124.72,9.72,92,0,6.2,RU,1603314329
335,São Filipe,14.9,-24.5,82.85,65,93,6.35,CV,1603314330
337,Iquique,-20.22,-70.14,66.2,72,75,17.22,CL,1603314332
338,Kudahuvadhoo,2.67,72.89,82.15,77,28,11.61,MV,1603314333
339,Pandan,14.05,124.17,80.46,83,100,10.51,PH,1603314335
340,Balabac,7.99,117.06,82.08,79,99,14.7,PH,1603314336
341,Hatta,24.12,79.6,71.6,35,16,1.16,IN,1603314337
342,Sinop Province,41.77,34.87,52.27,78,7,8.12,TR,1603314338
343,Blagoyevo,63.37,47.92,29.23,96,96,7.52,RU,1603314340
344,Kodinsk,58.69,99.18,35.31,92,97,5.68,RU,1603313815
345,Uyuni,-20.46,-66.83,60.75,34,71,6.98,BO,1603314342
346,Saint Anthony,45.02,-93.22,35.62,64,90,5.82,US,1603314109
347,Ayan,56.45,138.17,41.31,89,100,16.42,RU,1603314177
348,Santiago de Cao,-7.96,-79.24,66.2,77,83,11.41,PE,1603314109
349,North Bend,43.41,-124.22,60.08,59,1,19.46,US,1603314005
350,Hastings,50.86,0.57,56.5,87,29,8.99,GB,1603314170
351,Faanui,-16.48,-151.75,78.76,79,16,13.8,PF,1603314187
352,The Valley,18.22,-63.06,85.41,74,40,8.05,AI,1603314125
353,Neunkirchen,49.35,7.18,63.07,63,28,11.41,DE,1603314352
354,Evensk,61.95,159.23,30.94,88,0,4.7,RU,1603314353
355,Aquiraz,-3.9,-38.39,82.4,74,20,11.41,BR,1603314354
356,Tessalit,20.2,1.01,84.6,14,0,6.26,ML,1603314317
357,Asău,46.43,26.4,50.0,76,95,2.24,RO,1603314357
358,Chul'man,56.85,124.91,2.62,93,70,3.47,RU,1603314358
359,Lixouri,38.2,20.43,66.74,65,0,10.29,GR,1603314359
360,Colac,-38.33,143.58,47.32,98,37,1.83,AU,1603314360
361,Forsytheganj,52.63,29.73,44.08,89,100,4.9,BY,1603313806
362,Olovyannaya,50.95,115.57,23.88,91,25,6.44,RU,1603314363
363,Norman Wells,65.28,-126.83,23.0,85,90,17.22,CA,1603314105
364,Pimenta Bueno,-11.67,-61.19,85.98,55,68,3.83,BR,1603314111
365,Vagay,57.94,69.02,31.91,99,59,6.04,RU,1603314366
366,Boyolangu,-8.12,111.89,75.78,89,95,1.61,ID,1603314368
367,Djibouti,11.5,42.5,86.0,37,1,6.46,DJ,1603314129
368,Yining,29.04,114.56,53.02,81,87,0.54,CN,1603314370
369,Ovalle,-30.6,-71.2,75.85,30,0,6.98,CL,1603314371
370,Eldorado,-23.79,-54.28,87.66,45,3,3.27,BR,1603314372
371,Vredendal,-31.67,18.5,69.85,27,0,10.29,ZA,1603314374
372,Cap Malheureux,-19.98,57.61,73.0,82,70,1.99,MU,1603314375
373,Laas,46.62,10.7,45.82,80,5,5.82,IT,1603314376
374,Marawi,8.0,124.29,78.01,79,100,1.01,PH,1603314378
375,Talcahuano,-36.72,-73.12,62.6,63,0,12.75,CL,1603314379
376,Kalmunai,7.42,81.82,79.09,77,2,4.79,LK,1603314380
